Price,Year,Mileage,State,Make
33595,2014,19861, CT,Mercedes-Benz
14572,2015,39337, NC,Hyundai
11800,2013,99008, NC,Nissan
10990,2010,130464, TX,Ford
18492,2015,64758, UT,Ford
26454,2014,47316, NC,Ford
5566,2006,82238, TX,Chrysler
28681,2014,38198, NC,Chevrolet
22980,2016,27050, NJ,Ford
13545,2012,51435, GA,Toyota
22820,2015,23678, FL,Buick
23893,2017,15865, TX,Nissan
13168,2014,53900, FL,Jeep
45995,2015,31012, AZ,Chevrolet
23331,2014,82007, OK,Ram
20995,2015,45404, CA,Toyota
12999,2005,119138, WA,BMW
17241,2012,53957, AR,Honda
26990,2013,56491, CA,Chevrolet
37971,2015,48331, KY,GMC
21959,2016,17793, PA,Subaru
10500,2014,77321, KS,Ford
34999,2016,34341, WA,Jeep
17934,2016,30, WI,Jeep
15995,2015,25336, FL,Nissan
22977,2016,22281, TX,Subaru
3999,2007,120809, OH,Chrysler
35777,2015,32000, MD,Lexus
21995,2015,25475, GA,Kia
21971,2016,30214, FL,Subaru
17989,2013,67192, NE,Chevrolet
23993,2017,7563, OK,Toyota
28197,2017,23793, MD,Chrysler
24942,2011,91533, NE,Ford
40996,2014,30303, NY,BMW
14453,2016,2199, NJ,Nissan
23950,2016,44369, NM,Chevrolet
15995,2011,72839, FL,Jeep
16988,2013,64196, IL,Ford
22695,2012,103002, GA,Audi
29999,2013,51955, AZ,BMW
7679,2007,144576, GA,Hyundai
18750,2014,19100, GA,Scion
13000,2014,37687, GA,Mitsubishi
19250,2013,43853, MD,Acura
20495,2014,19814, FL,GMC
19994,2012,71812, MI,Dodge
19500,2015,50538, GA,Acura
18586,2012,49011, MA,Nissan
5985,2003,245292, MS,Chevrolet
6495,2004,173294, WA,Honda
26988,2015,24575, HI,Mazda
20950,2016,10794, CO,Honda
11157,2013,22637, TX,Nissan
13995,2009,96586, TX,Acura
22523,2017,652, WV,Chevrolet
11998,2012,61996, KY,Ford
17980,2013,93704, TX,Dodge
47900,2015,17577, UT,Ford
28995,2006,139434, CA,Dodge
13992,2015,18861, FL,Honda
36900,2017,1069, NC,GMC
16378,2014,40992, MD,Ford
30977,2014,33145, CA,Land
18590,2014,35160, CO,Honda
24997,2015,48311, NV,Honda
17995,2015,81501, MS,Kia
17100,2016,49306, GA,Chrysler
33999,2012,65851, IL,Mercedes-Benz
22999,2014,31838, CA,INFINITI
24995,2014,24525, AR,Honda
8910,2012,66245, IL,Chevrolet
15790,2015,30456, NJ,Toyota
12490,2015,29854, MA,Kia
20000,2013,32337, AL,BMW
37398,2014,37994, UT,Jeep
12997,2013,49335, MO,Hyundai
22495,2014,68508, MD,Ford
